品牌型号|4G网络|主屏尺寸|CPU型号|CPU频率|电池容量|后置摄像头|操作系统|内存容量|价格
vivo Y85（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.26英寸  2280x1080像素|高通 骁龙450|1.8GHz  八核|3260mAh  不可拆卸式电池|主摄1300万像素+副摄200万像素|Android 8.1|4GB|1398
努比亚X（6GB RAM/深空灰/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.26英寸  2280x1080像素|高通 骁龙845|2.8GHz  八核|3800mAh  不可拆卸式电池|2400万像素+1600万像素|nubia UI 6.0.2（基于Android 8.1）|6GB|3299
华为畅享8（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  1440x720像素|高通 骁龙430（MSM8937）|1.4GHz（大四核），1.1GHz（小四核）  八核|3000mAh  不可拆卸式电池|1300万像素+200万像素|EMUI 8.0（基于Android 8.0）|3GB|939
华为Mate 9（MHA-AL00/4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.9英寸  1920x1080像素|海思 kirin 960|2.4GHz（大四核），1.8GHz（小四核）+微智核i6  八核|4000mAh  不可拆卸式电池|2000万像素+1200万像素|EMUI 5.0（基于Android 7.0）|4GB|1788
美图T9（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.01英寸  2160x1080像素|高通 骁龙660|2.2GHz  八核|3100mAh  不可拆卸式电池|1200万像素+500万像素|MEIOS4.3（基于Android 8.1）|4GB|2499
小米红米Note 7（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.3英寸  2340x1080|高通 骁龙660 AIE|2.2GHz  八核|4000mAh  不可拆卸式电池|4800万像素+500万像素|6GB|64GB|1399
华为Mate 20 RS保时捷版（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.39英寸  3120x1440像素|海思 Kirin 980|2 x Cortex A76 Based 2.6 GHz + 2 x Cortex A76 Based 1.92 GHz+4 x Cortex A55 1.8 GHz  八核|4200mAh  不可拆卸式电池|4000万像素+2000万像素+800万像素|Android 9.0|8GB|1.3万
vivo Y71（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  1440x720像素|高通 骁龙425（MSM8917）|1.4GHz  四核|3360mAh  不可拆卸式电池|1300万像素|Android 8.1|3GB|1000
小米9 SE（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.97英寸  2340x1080像素|高通 骁龙712|2.3GHz  八核|3070mAh  不可拆卸式电池|4800万像素+800万像素+1300万像素|MIUI 10（基于Android 9.0）|6GB|1999
vivo U1（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  1520x720像素|高通 骁龙439|1.95GHz  八核|4030mAh  不可拆卸式电池|1300万像素+200万像素|Funtouch OS 4.5（基于Android 8.1）|3GB|799
诺基亚X7 2018（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.18英寸  2246x1080像素|高通 骁龙710|2.2GHz x 2+1.7GHz x 6  八核|3500mAh  不可拆卸式电池|1300万像素+1200万像素|Android Oreo 8.1|4GB|1699
三星Galaxy S10+（8GB RAM/玻璃版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.4英寸  3040x1440像素|高通 骁龙855|4100mAh  不可拆卸式电池|1600万像素+1200万像素+1200万像素|Android 9.0|8GB|128GB|6999
荣耀畅玩7X（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.93英寸  2160x1080像素|海思 Kirin 659|2.36GHz（大四核），1.7GHz（小四核）  八核|3340mAh  不可拆卸式电池|1600万像素+200万像素|EMUI 5.1（基于Android 7.0）|4GB|899
华为畅享MAX（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|7.12英寸  2244x1080像素|高通 骁龙660AIE|1.95GHz（大四核），1.8GHz（小四核）  八核|5000mAh  不可拆卸式电池|1600万像素+200万像素|EMUI 8.2.0（基于Android 8.1）|4GB|1699
华为nova 3e（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.84英寸  2280x1080像素|海思 Kirin 659|2.36GHz（大四核），1.7GHz（小四核）  八核|3000mAh  不可拆卸式电池|1600万像素+200万像素|EMUI 8.0（基于Android 8.0）|4GB|1749
三星GALAXY Note 8（N9500/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.3英寸  2960x1440像素|高通 骁龙835（MSM8998）|2.35GHz（大四核），1.9GHz（小四核）  八核|3300mAh  不可拆卸式电池|双1200万像素|Android 7.1|6GB|5199
vivo X21s（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.41英寸  2340x1080像素|高通 骁龙660AIE|3400mAh  不可拆卸式电池|2x1200万像素（2400万感光单元）+500万像素|Funtouch OS 4.5|6GB|128GB|2598
华为nova 4（高配版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.4英寸  2310x1080像素|海思 Kirin 970|3750mAh  不可拆卸式电池|4800万像素+1600万像素+200万像素|EMUI 9.0（基于Android 9.0）|8GB|128GB|3399
荣耀9（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.15英寸  1920x1080像素|海思 Kirin 960|2.4GHz（大四核），1.8GHz（小四核）+微智核I6  八核|3200mAh  不可拆卸式电池|1200万像素+2000万像素|EMUI 5.1（基于Android 7.0）|4GB|1859
华为麦芒7（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.3英寸  2340x1080像素|海思 Kirin 710|2.2GHz（大四核），1.7GHz（小四核）  八核|3750mAh  不可拆卸式电池|2000万像素+200万像素|EMUI 8.2（基于Android 8.1）|6GB|2199
小米红米6 Pro（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.84英寸  2280x1080像素|高通 骁龙625|2.0GHz  八核|4000mAh  不可拆卸式电池|1200万像素+500万像素|3GB|32GB|869
一加6T（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.41英寸  2340x1080像素|高通 骁龙845|2.8GHz  八核|3700mAh  不可拆卸式电池|2000万像素+1600万像素|H2 OS（基于Android 9.0）|8GB|3599
苹果iPhone 5S（双4G）|移动TD-LTE，联通TD-LTE，联通FDD-LTE|4英寸  1136x640像素|苹果 A7+M7协处理器|1.3GHz  双核|1560mAh  不可拆卸式电池|800万像素|iOS 7.0|1GB|1199
vivo NEX（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.59英寸  2316x1080像素|高通 骁龙710|2.2GHz（大二核），1.7GHz（小六核）  八核|4000mAh  不可拆卸式电池|2x1200万像素（2400万感光单元）+500万像素|Funtouch OS 4.0（基于Android 8.1）|6GB|3298
荣耀8（FRD-AL00/3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1920x1080像素|海思 Kirin 950|2.3GHz（大四核），1.8GHz（小四核）  八核|3000mAh  不可拆卸式电池|双1200万像素|EMUI 5.0（基于Android 7.0）|3GB|939
vivo Y81s（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.22英寸  1520x720像素|联发科 MT6762|2.0GHz（大四核），1.5GHz（小四核）  八核|3260mAh  不可拆卸式电池|1300万像素|Android 8.1|3GB|1000
OPPO A1（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  1440x720像素|联发科 MT6763T|2.5GHz  八核|3180mAh  不可拆卸式电池|1300万像素|ColorOS（基于Android 7.1）|3GB|1000
苹果iPhone 11 Plus（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.5英寸  2560x1440像素|苹果 A12|双1900万像素|iOS 12|4GB|64GB/256GB/512GB|双1200万像素|概念产品
魅族X8（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  2220x1080像素|高通 骁龙710|2.2GHz  八核|3210mAh  不可拆卸式电池|1200万像素+500万像素|6GB|64GB/128GB|1498
OPPO Find Z（全网通）|移动TD-LTE，FDD-LTE（仅限国际漫游）|5.5英寸  2560x1600像素|高通 骁龙855|4500mAh  不可拆卸式电池|2400万像素+1600万像素+800万像素|Android 6.0|6GB|128GB|概念产品
三星GALAXY S8+（G9550/双卡版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸  2960x1440像素|高通 骁龙835（MSM8998）|2.35GHz（大四核），1.9GHz（小四核）  八核|3500mAh  不可拆卸式电池|1200万像素|Android 7.0|4GB|4699
OPPO Find X（超级闪充版/全网通） |移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.42英寸  2340x1080像素|高通 骁龙845|2.8GHz  八核|3400mAh  不可拆卸式电池|2000万像素+1600万像素|Color OS 5.1（基于Android 8.1）|8GB|5499
小米红米Note 5（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙636|1.8GHz  八核|4000mAh  不可拆卸式电池|1200万像素+500万像素|MIUI 9（基于Android 8.1）|3GB|819
华为P30 Pro（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.2英寸|海思 Kirin 980|4800万像素+2000万像素+2000万像素|6GB/8GB|64GB/128GB/256GB|2400|AMOLED|概念产品
小米Max 3（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.9英寸  2160x1080像素|高通 骁龙636|1.8GHz  八核|5500mAh  不可拆卸式电池|1200万像素+500万像素|4GB|64GB|1599
小米MIX 2（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙835（MSM8998）|2.45GHz（大四核），1.9GHz（小四核）  八核|3400mAh  不可拆卸式电池|1200万像素|MIUI 9（基于Android 7.1）|6GB|2299
OPPO R17新年特别版（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.4英寸  2340x1080像素|高通 骁龙670|2.0GHz  八核|3500mAh  不可拆卸式电池|1600万像素+500万像素|ColorOS 5.2（基于Android 8.1）|6GB|2799
vivo Y67（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|联发科 MT6750|1.5GHz  八核|3000mAh|1300万像素|Android 6.0|4GB|1098
华为P10 Plus（VKY-AL00/6GB RAM全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  2560x1440像素|海思 Kirin 960|2.4GHz（大四核），1.8GHz（小四核）+微智核I6  八核|3750mAh  不可拆卸式电池|2000万像素+1200万像素|EMUI 5.1（基于Android 7.0）|6GB|2128
小米9（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.39英寸  2340x1080像素|高通 骁龙855|1x2.84GHz（超级大核）+3x2.42GHz（大核）+4x1.80GHz（小核）  八核|3300mAh  不可拆卸式电池|4800万像素+1600万像素+1200万像素|MIUI 10（基于Android 9.0）|8GB|3299
魅族魅蓝Note 6（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1920x1080像素|高通 骁龙625（MSM8953）|2.0GHz  八核|4000mAh  不可拆卸式电池|1200万像素+500万像素|Flyme 6（基于Android 7.1）|3GB|799
黑鲨游戏手机（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.99英寸  2160x1080像素|高通 骁龙845|2.8GHz|4000mAh  不可拆卸式电池|2000万像素+1200万像素|JOY UI|6GB|2299
努比亚红魔电竞游戏手机（6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6英寸  2160x1080像素|高通 骁龙835（MSM8998）|2.36GHz（大四核），1.9GHz（小四核），单核最高主频 2.45GHz  八核|3800mAh  不可拆卸式电池|2400万像素|nubia red magic os（基于Android 8.1）|6GB|2499
三星Galaxy S10+（12GB RAM/陶瓷版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.4英寸  3040x1440像素|高通 骁龙855|4100mAh  不可拆卸式电池|1600万像素+1200万像素+1200万像素|Android 9.0|12GB|1TB|1.1万
华为畅享8 Plus（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.93英寸  2160x1080像素|海思 Kirin 659|2.36GHz（大四核），1.7GHz（小四核）  八核|4000mAh  不可拆卸式电池|1300万像素+200万像素|EMUI 8.0（基于Android 8.0）|4GB|1499
小米红米6（3GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.45英寸  1440x720像素|联发科 Helio P22|2.0GHz  八核|3000mAh  不可拆卸式电池|1200万像素+500万像素|MIUI（基于Android）|3GB|729
vivo X9Plus（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.88英寸  1920x1080像素|高通 骁龙653（MSM8976 Pro）|1.95GHz（大四核），1.4GHz（小四核）  八核|4000mAh  不可拆卸式电池|1600万像素|Funtouch OS 3.0（基于Android 6.0）|6GB|2498
vivo Y55（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.2英寸  1280x720像素|高通 骁龙430（MSM8937）|1.4GHz  八核|2730mAh  不可拆卸式电池|800万像素|Android 6.0|2GB|999
vivo Y66（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.5英寸  1280x720像素|高通 骁龙430（MSM8937）|1.4GHz  八核|3000mAh  不可拆卸式电池|1300万像素|Funtouch OS 3.0（基于Android 6.0）|3GB|1198
vivo Y83（全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.22英寸  1520x720像素|联发科 Helio P22（MT6762）|2.0GHz（大四核），1.5GHz（小四核）  八核|3260mAh  不可拆卸式电池|1300万像素|Funtouch OS 3.2（基于Android 8.1）|4GB|1398
小米红米Note 7 Pro（RAM 4GB/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.3英寸  2340x1080|高通 骁龙675（MSM6150）|2x2.0GHz Kryo 460 Gold，6x1.7 GHz Kryo 460  八核|4000mAh  不可拆卸式电池|4800万像素+500万像素|MIUI 10（基于Android 9.0）|4GB|即将上市
OPPO R17 Pro（8GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.4英寸  2340x1080像素|高通 骁龙710|2.2GHz  八核|3700mAh  不可拆卸式电池|2000万像素+1200万像素+TOF 3D 立体摄像头|ColorOS 5.2（基于Android 8.1）|8GB|4299
苹果iPhone XR（国际版/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.1英寸  1792x828像素|苹果 A12|2942mAh  不可拆卸式电池|1200万像素|iOS 12|3GB|64GB/128GB/256GB|5988
荣耀V9（DUK-AL20/6GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|5.7英寸  2560x1440像素|海思 Kirin 960|2.4GHz（大四核），1.8GHz（小四核）+微智核I6  八核|4000mAh  不可拆卸式电池|双1200万像素|EMUI 5.1（基于Android 7.0）|6GB|1977
联想Z5s（4GB RAM/全网通）|移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE|6.3英寸  2340x1080像素|高通 骁龙710 AIE|2.2GHz  八核|3300mAh  不可拆卸式电池|1600万像素+800万像素+500万像素|ZUI 10|4GB|1398
